Date/Time,Consumption (kW)
 12/06  20:00:00,18.70351053
 12/06  21:00:00,20.28699324
 12/06  22:00:00,20.94909739
 12/06  23:00:00,20.3737828
 12/06  24:00:00,20.30997185
 12/07  01:00:00,14.38541531
 12/07  02:00:00,19.75941557
 12/07  03:00:00,20.26578134
 12/07  04:00:00,21.01908377
 12/07  05:00:00,21.99030275
 12/07  06:00:00,23.10449523
 12/07  07:00:00,23.67051876
 12/07  08:00:00,24.50749381
 12/07  09:00:00,23.57293575
 12/07  10:00:00,22.44876929
 12/07  11:00:00,22.3227327
 12/07  12:00:00,19.98522809
 12/07  13:00:00,18.52641827
 12/07  14:00:00,17.61675618
 12/07  15:00:00,16.50802879
 12/07  16:00:00,18.37572015
 12/07  17:00:00,19.46958177
 12/07  18:00:00,21.88812715
 12/07  19:00:00,20.52606956
 12/07  20:00:00,20.93045651
 12/07  21:00:00,20.06859485
 12/07  22:00:00,18.3740057
 12/07  23:00:00,17.55383593
 12/07  24:00:00,17.17358828
 12/08  01:00:00,15.98095877
 12/08  02:00:00,15.74669526
 12/08  03:00:00,16.05303723
 12/08  04:00:00,16.16482464
 12/08  05:00:00,16.17895561
 12/08  06:00:00,16.41180986
 12/08  07:00:00,16.57560182
 12/08  08:00:00,18.66781413
 12/08  09:00:00,16.75734709
 12/08  10:00:00,15.62601801
 12/08  11:00:00,16.33228779
 12/08  12:00:00,13.66094995
 12/08  13:00:00,12.87110841
 12/08  14:00:00,12.22883398
 12/08  15:00:00,11.82628534
 12/08  16:00:00,11.73311745
 12/08  17:00:00,14.26578126
 12/08  18:00:00,19.70053211
 12/08  19:00:00,19.99021226
 12/08  20:00:00,20.43243184
 12/08  21:00:00,19.78976629
 12/08  22:00:00,20.74896892
 12/08  23:00:00,20.79137754
 12/08  24:00:00,22.40623981
 12/09  01:00:00,22.29693848
 12/09  02:00:00,22.76045326
 12/09  03:00:00,22.74243622
 12/09  04:00:00,23.11961718
 12/09  05:00:00,23.98525407
 12/09  06:00:00,24.56199501
 12/09  07:00:00,27.94924432
 12/09  08:00:00,28.70115456
 12/09  09:00:00,29.32949214
 12/09  10:00:00,27.57995008
 12/09  11:00:00,28.91361986
 12/09  12:00:00,26.84612906
